Title,Author,Year
Damia By Anne McCaffrey,Anne McCaffrey,First published in 1992
Triss: Redwall #15,Brian Jacques,First published in 2002
Castle Roogna,Piers Anthony,First published in 1979
Captivated,Nora Roberts,First published in 1992
Unreal!: eight surprising stories,Paul Jennings,First published in 1985
"The king of the Golden River: or, The black brothers, a legend of Stiria",John Ruskin,First published in 1863
The science of Discworld,Terry Pratchett,First published in 1999
The Golden Fleece and the Heroes Who Lived before Achilles,Padraic Colum,First published in 1921
The Hearing Trumpet,Leonora Carrington,First published in 1976
Outcast of Redwall: Redwall #8,Brian Jacques,First published in 1995
Star Born,Andre Norton,First published in 1957
"Naked Empire (Sword of Truth, Book 8)",Terry Goodkind,First published in 2003
The Grace of Kings (The Dandelion Dynasty),Ken Liu,First published in 2001
Keys to the Demon Prison,Brandon Mull,First published in 2010
An acceptable time,Madeleine L'Engle,First published in 1989
How few remain,Harry Turtledove,First published in 1997
Elsewhere,Gabrielle Zevin,First published in 2005
Dead as a doornail,Charlaine Harris,First published in 2005
The Last Enchantment,Mary Stewart,First published in 1979
Angelfall,Susan Ee,First published in 2012
Changeover: a supernatural romance,Margaret Mahy,First published in 1974
Grim Tuesday (The Keys to the Kingdom),Garth Nix,First published in 2004
"Waldo and Magic, Inc.",Robert A. Heinlein,First published in 1950
Book of Azrael: Book 1 of the Gods & Monsters Series,Amber Nicole,First published in 2022
"Phantom: Chainfire Trilogy, Part 2 (Sword of Truth, Book 10)",Terry Goodkind,First published in 2006
Martin the Warrior: Redwall #6,Brian Jacques,First published in 1993
Doctor Dolittle's garden,Hugh Lofting,First published in 1927
The Ickabog,J. K. Rowling,First published in 2020
Three parts dead,Max Gladstone,First published in 2012
The autobiography of my mother,Jamaica Kincaid,First published in 1996
Nerilka's Story,Anne McCaffrey,First published in 1986
Secrets of the Dragon Sanctuary,Brandon Mull,First published in 2009
Domnei,James Branch Cabell,First published in 1920
"Amulet, Book Seven: Firelight",Kazu Kibuishi,First published in 2016
Half a king,Joe Abercrombie,First published in 2014
The worm Ouroboros,Eric Rücker Eddison,First published in 1900
The Worm Ouroboros,E. R. Eddison,First published in 2004
Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,First published in 1966
Fables & Reflections,Neil Gaiman,First published in 1993
Warriors : Dawn of the Clans #2: Thunder Rising,Erin Hunter,First published in 2013
Lyra's Oxford,Philip Pullman,First published in 2003
Fool's fate,Robin Hobb,First published in 2003
Deltora Quest: Special Edition Books 1-4,Emily Rodda,First published in 2000
"The Fork, the Witch, and the Worm",Christopher Paolini,First published in 2018
Valiant: A Modern Tale of Faerie,Holly Black,First published in 2005
"The Novice (The Black Magician Trilogy, Book 2)",Trudi Canavan,First published in 2002
The Wolf Gift,Anne Rice,First published in 2012
Promise of Blood,Brian McClellan,First published in 2013
The Scum Villain’s Self-Saving System: Ren Zha Fanpai Zijiu Xitong Vol. 4,Mo Xiang Tong Xiu,First published in 2022
What dreams may come,Richard Matheson,First published in 1978
Lavinia,Ursula K. Le Guin,First published in 2008
The School for Good and Evil #2: A World without Princes,Soman Chainani,First published in 2018
Shattered Sky,Erin Hunter,First published in 2017
A Conjuring of Light (A Darker Shade of Magic),V. E. Schwab,First published in 2017
Avatar: The Last Airbender: The Lost Adventures,Aaron Ehasz,First published in 2011
Kraken: an anatomy,China Miéville,First published in 2010
The Faceless Ones,Derek Landy,First published in 2007
The empty city,Erin Hunter,First published in 2012
In Real Life,Cory Doctorow,First published in 2014
The last vampire 5: evil thirst,Christopher Pike,First published in 1996
Winter Turning: Wings of Fire,Tui T. Sutherland,First published in 2015
The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making: Fairyland #1,Catherynne M. Valente,First published in 2011
Pan's Labyrinth: The Labyrinth of the Faun,Guillermo del Toro,First published in 2019
Somewhere in time,Richard Matheson,First published in 1975
Dragon Ball Z (Dragon Ball Z (Sagebrush)),Akira Toriyama,First published in 2003
Book Eaters,Sunyi Dean,First published in 2022
The Night Watch,Sergeĭ Lukʹi͡anenko,First published in 1999
Legends: short novels by the masters of modern fantasy,Robert Silverberg,First published in 1998
Days of blood & starlight,Laini Taylor,First published in 2012
Shades of Grey: The road to High Saffron,Jasper Fforde,First published in 2008
Wereworld: rise of the wolf,Curtis Jobling,First published in 2011
Into the Woods,Erin Hunter,First published in 2008
Marlfox: Redwall #11,Brian Jacques,First published in 1998
House of Hollow,Krystal Sutherland,First published in 2021
Sorcery of Thorns,Margaret Rogerson,First published in 2019
Wild Cards,George R. R. Martin,First published in 1986
Mouse and His Child,Russell Hoban,First published in 1967
Dragon Book: Magical Tales from the Masters of Modern Fantasy,Jack Dann,First published in 2009
Fairest of all: a tale of the wicked queen,Serena Valentino,First published in 2009
The extra day,Algernon Blackwood,First published in 1915
Saint George and the Dragon: a golden legend,Margaret Hodges,First published in 1950
"Ogre, ogre",Piers Anthony,First published in 1982
Blood Bound,Patricia Briggs,First published in 2007
"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,First published in 1991
The summer tree,Guy Gavriel Kay,First published in 1984
"Boruto: Naruto Next Generations, Vol. 20",Ukyo Kodachi,First published in 2007
"The Works of Edgar Allan Poe, Raven Edition, Volume 5",Edgar Allan Poe,First published in 1903
The Works of Edgar Allan Poe: Volume 1,Edgar Allan Poe,First published in 1903
Anne McCaffrey's the Unicorn Girl: An Illustrated Novel,Anne McCaffrey,First published in 1997
Autonomous,Annalee Newitz,First published in 2017
The Traitor Baru Cormorant (Baru Cormorant #1): The Masquerade (Volume 1),Seth Dickinson,First published in 2015
Outlaw Of Gor,John Norman,First published in 1967
Adventurers Wanted: Slathbog's Gold,Mark Forman,First published in 2009
The flying inn,Gilbert Keith Chesterton,First published in 1914
Kingdom of the Golden Dragon,Isabel Allende,First published in 2003
Sandman: Brief Lives (Book  VII of  The Sandman Collected Library),Neil Gaiman,First published in 1994
"Green grass, running water",Thomas King,First published in 1993
Tales from the perilous realm,J.R.R. Tolkien,First published in 1993
Carry On,Rainbow Rowell,First published in 2019
The Mayflower project,Katherine Applegate,First published in 2001
Lore,Alexandra Bracken,First published in 2021
The Doings of Raffles Haw,Arthur Conan Doyle,First published in 1891
"Proven Guilty (The Dresden Files, Book 8)",Jim Butcher,First published in 2007
Spider-Man: The Other,Peter David,First published in 1988
Jungle tales of Tarzan,Edgar Rice Burroughs,First published in 1919
The Moon Pool,A. Merritt,First published in 1919
Sylvie and Bruno Concluded,Lewis Carroll,First published in 1893
An unkindness of ghosts,Rivers Solomon,First published in 2017
Scrambled eggs super!,Dr. Seuss,First published in 1953
Queen of sorcery,David Eddings,First published in 1983
Warriors : the Broken Code #2: the Silent Thaw,Erin Hunter,First published in 2019
The Akhenaten Adventure: Children of the Lamp #1,Philip Kerr,First published in 2004
The box of delights: when the wolves were running,John Masefield,First published in 1935
Bartimaeus: The Ring of Solomon,Jonathan Stroud,First published in 2010
Artemis Fowl: The Graphic Novel,Eoin Colfer,First published in 2007
Dreams of Gods and Monsters,Laini Taylor,First published in 2011
A Touch Of Ruin,Scarlett St. Clair,First published in 2020
White Sand,Brandon Sanderson,First published in 2016
Dead to the world,Charlaine Harris,First published in 2004
Dawnshard,Brandon Sanderson,First published in 2020
The midnight folk,John Masefield,First published in 1927
Assassin of Gor,John Norman,First published in 1970
Artemis Fowl and the Last Guardian,Eoin Colfer,First published in 2012
Journey,Aaron Becker,First published in 2013
Hothouse,Brian W. Aldiss,First published in 1962
The Deep,Rivers Solomon,First published in 2019
"The lost princess: or, The wise woman",George MacDonald,First published in 1875
A World Without Princes,Soman Chainani,First published in 2014
The Hound of Death: and Other Stories,Agatha Christie,First published in 1933
On the Edge of the Dark Sea of Darkness: Adventure. Peril. Lost Jewels. And the Fearsome Toothy Cows of Skree.,Andrew Peterson,First published in 2008
"Of Blood and Bone: Chronicles of The One, Book 2",Nora Roberts,First published in 2018
The aeronaut's windlass,Jim Butcher,First published in 2015
The skies of Pern,Anne McCaffrey,First published in 2001
Castle of wizardry,David Eddings,First published in 1984
The famished road,Ben Okri,First published in 1991
School for Good and Evil #3: the Last Ever After,Soman Chainani,First published in 2015
Dr Seuss storybook.,Dr. Seuss,First published in 1979
The Silent Corner,Dean Koontz,First published in 2017
El Caballero de la Armadura Oxidada,Robert Fisher,First published in 1997
The Raven Tower,Ann Leckie,First published in 2019
Restoree,Anne McCaffrey,First published in 1967
Charlie Bone and the time twister,Jenny Nimmo,First published in 2002
"Hitty, her first hundred years",Rachel Field,First published in 1929
Warlock o' Glenwarlock: A homely romance,George MacDonald,First published in 1881
Beyond the Shadows,Brent Weeks,First published in 2008
Revolutionary War on Wednesday,Mary Pope Osborne,First published in 2000
Rogues,George R. R. Martin,First published in 2014
Arrow to the sun: a Pueblo Indian tale.,Gerald McDermott,First published in 1974
Gilded Ones,Namina Forna,First published in 2020
Ming Lo moves the mountain,Arnold Lobel,First published in 1982
Black,Ted Dekker,First published in 2004
Prince Lestat,Anne Rice,First published in 2014
The Dragonet Prophecy: #Book 1,Tui T. Sutherland,First published in 2012
The Dead Room,Heather Graham,First published in 2007
The Dead Game,A. Bates,First published in 1993
Skin game: a novel of the Dresden files,Jim Butcher,First published in 2014
Daisy-head Mayzie,Dr. Seuss,First published in 1994
Innocence,Dean Koontz,First published in 2013
Raven King,Maggie Stiefvater,First published in 2016
Battle Ground,Jim Butcher,First published in 2020
The Burning God,R. F. Kuang,First published in 2020
Great Tales of Edgar Allen Poe,Edgar Allan Poe,First published in 1940
Warriors Super Edition: Graystripe's Vow,Erin Hunter,First published in 2020
Civil War on Sunday,Mary Pope Osborne,First published in 2000
The regulators,Stephen King,First published in 1996
Mrs. Caliban,Rachel Ingalls,First published in 1982
King of thorns,Mark Lawrence,First published in 2012
The sandman: The kindly ones,Neil Gaiman,First published in 1996
"Road of the Patriarch: Forgotten Realms: The Sellswords, Book 3",R. A. Salvatore,First published in 2006
"Lucretia: or, The children of night.","Edward Bulwer Lytton, Baron Lytton",First published in 1846
Ground zero,Kevin J. Anderson,First published in 1995
The King's buccaneer,Raymond E. Feist,First published in 1992
The People of the Mist,H. Rider Haggard,First published in 1894
Tales of the peculiar,Ransom Riggs,First published in 2016
Krondor: tear of the gods,Raymond E. Feist,First published in 2000
The Penguin complete Grimms' tales for young and old,Brothers Grimm,First published in 1846
The Legend of Shadow High,Shannon Hale,First published in 2017
Black House,Stephen King,First published in 2001
Across the wall: tales of the Abhorsen and other stories,Garth Nix,First published in 2005
Midnight tides: a tale of the Malazan book of the fallen,Steven Erikson,First published in 1998
Assassin's creed: unity,Oliver Bowden,First published in 2011
"The Great Book of Amber: The Complete Amber Chronicles, 1-10",Roger Zelazny,First published in 1999
Guilty Pleasures (Anita Blake Vampire Hunter),Laurell K. Hamilton,First published in 1995
Dodger,Terry Pratchett,First published in 2012
Shadow of a dark queen,Raymond E. Feist,First published in 1994
The bull from the sea.,Mary Renault,First published in 1962
